"Name","Type","NameNiederlassung","Street","Postcode","City","State","Wheelchair"
"Deutsche Bank","amenity=bank","Ottobrunn","Naupliaallee 2","85521","Ottobrunn","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","Schmalkalden","Auer Gasse 20","98574","Schmalkalden","Thüringen / Thuringia","yes"
"Deutsche Bank","amenity=bank","Schönebeck","Salzer Straße 14","39218","Schönebeck","Sachsen-Anhalt / Saxony-Anhalt","yes"
"Deutsche Bank","amenity=bank","Schorndorf","Marktplatz 9","73614","Schorndorf","Baden-Württemberg / Baden-Wuerttemberg","yes"
"Deutsche Bank","amenity=bank","Schwäbisch Gmünd","Ledergasse 8","73525","Schwäbisch Gmünd","Baden-Württemberg / Baden-Wuerttemberg","yes"
"Deutsche Bank","amenity=bank","Schwedt","Karthausstraße 12","16303","Schwedt","Brandenburg","yes"
"Deutsche Bank","amenity=bank","Schwelm","Hauptstraße 43-45","58332","Schwelm","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Schwenningen","Harzer Straße 1","78054","Villingen-Schwenningen","Baden-Württemberg / Baden-Wuerttemberg","yes"
"Deutsche Bank","amenity=bank","Schwerin","Marienplatz 1-2","19053","Schwerin","Mecklenburg-Vorpommern / Mecklenburg-Western Pomerania","yes"
"Deutsche Bank","amenity=bank","Paderborn","Bahnhofstraße 1","33102","Paderborn","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Papenburg","Hauptkanal links 58","26871","Papenburg","Niedersachsen / Lower Saxony","yes"
"Deutsche Bank","amenity=bank","Parchim","Blutstraße 13","19370","Parchim","Mecklenburg-Vorpommern / Mecklenburg-Western Pomerania","yes"
"Deutsche Bank","amenity=bank","Passau","Ludwigsplatz 5","94032","Passau","Bayern / Bavaria","yes"
"Deutsche Bank","amenity=bank","Peine","Breite Straße 46","31224","Peine","Niedersachsen / Lower Saxony","yes"
"Deutsche Bank","amenity=bank","Perleberg","Bäckerstraße 10","19348","Perleberg","Brandenburg","yes"
"Deutsche Bank","amenity=bank","Pforzheim","Westliche Karl-Friedrich-Straße 76","75172","Pforzheim","Baden-Württemberg / Baden-Wuerttemberg","yes"
"Deutsche Bank","amenity=bank","Pinneberg","Dingstätte 19-21","25421","Pinneberg","Schleswig-Holstein","no"
"Deutsche Bank","amenity=bank","Pirmasens","Schloßstraße 42","66953","Pirmasens","Rheinland-Pfalz / Rhineland-Palatinate","yes"
"Deutsche Bank","amenity=bank","Pirna","Jacobäerstraße 3","1796","Pirna","Sachsen / Saxony","no"
"Deutsche Bank","amenity=bank","Plauen","Bahnhofstraße 15","8523","Plauen","Sachsen / Saxony","yes"
"Deutsche Bank","amenity=bank","Plettenberg","Umlauf 12","58840","Plettenberg","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Pößneck","Breite Straße 51","7381","Pößneck","Thüringen / Thuringia","yes"
"Deutsche Bank","amenity=bank","Potsdam","Charlottenstraße 40","14467","Potsdam","Brandenburg","yes"
"Deutsche Bank","amenity=bank","Potsdam-Babelsberg","Karl-Liebknecht-Straße 11-13","14482","Potsdam","Brandenburg","yes"
"Deutsche Bank","amenity=bank","Prenzlau","Marktberg 12","17291","Prenzlau","Brandenburg","yes"
"Deutsche Bank","amenity=bank","Radebeul","Moritzburger Straße 1","1445","Radebeul","Sachsen / Saxony","no"
"Deutsche Bank","amenity=bank","Rastatt","Kaiserstraße 60","76437","Rastatt","Baden-Württemberg / Baden-Wuerttemberg","no"
"Deutsche Bank","amenity=bank","Ratekau","Bäderstraße 24","23626","Ratekau","Schleswig-Holstein","yes"
"Deutsche Bank","amenity=bank","Rathenow","Karl-Liebknecht-Straße 3","14712","Rathenow","Brandenburg","yes"
"Deutsche Bank","amenity=bank","Ratingen","Düsseldorfer Straße 23","40878","Ratingen","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Ratingen-West","Am Sandbach 34","40878","Ratingen","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Ratingen-Lintorf","Speestraße 16","40885","Ratingen","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Ratzeburg","Am Markt 8","23909","Ratzeburg","Schleswig-Holstein","yes"
"Deutsche Bank","amenity=bank","Ravensburg","Marienplatz 37","88212","Ravensburg","Baden-Württemberg / Baden-Wuerttemberg","yes"
"Deutsche Bank","amenity=bank","Recklinghausen","Königswall 24","45657","Recklinghausen","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Regensburg","Maximilianstraße 9","93047","Regensburg","Bayern / Bavaria","yes"
"Deutsche Bank","amenity=bank","Reichenbach","Bahnhofstraße 9","8468","Reichenbach","Sachsen / Saxony","yes"
"Deutsche Bank","amenity=bank","Reinbek","Schmiedesberg 2a","21465","Reinbek","Schleswig-Holstein","yes"
"Deutsche Bank","amenity=bank","Remscheid","Blumenstraße 33","42853","Remscheid","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Remscheid-Lennep","Kölner Straße 36","42897","Remscheid","Nordrhein-Westfalen / North Rhine-Westphalia","no"
"Deutsche Bank","amenity=bank","Rendsburg","Jungfernstieg 2","24768","Rendsburg","Schleswig-Holstein","yes"
"Deutsche Bank","amenity=bank","Reutlingen","Kaiserpassage 1","72764","Reutlingen","Baden-Württemberg / Baden-Wuerttemberg","yes"
"Deutsche Bank","amenity=bank","Rheinbach","Vor dem Dreeser Tor 11-13","53359","Rheinbach","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Rheinberg","Orsoyer Straße 1","47495","Rheinberg","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Rheine","Poststraße 21","48431","Rheine","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Rheinfelden","Zähringerstraße 12","79618","Rheinfelden","Baden-Württemberg / Baden-Wuerttemberg","no"
"Deutsche Bank","amenity=bank","Ribnitz-Damgarten","Lange Straße 44","18311","Ribnitz-Damgarten","Mecklenburg-Vorpommern / Mecklenburg-Western Pomerania","yes"
"Deutsche Bank","amenity=bank","Riesa","Alexander-Puschkin-Platz 11","1587","Riesa","Sachsen / Saxony","no"
"Deutsche Bank","amenity=bank","Rosenheim","Max-Josefs-Platz 26","83022","Rosenheim","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","Rostock","Kröpeliner Straße 84","18055","Rostock","Mecklenburg-Vorpommern / Mecklenburg-Western Pomerania","yes"
"Deutsche Bank","amenity=bank","Rostock-Lütten Klein","St. Petersburger Straße 18b","18107","Rostock","Mecklenburg-Vorpommern / Mecklenburg-Western Pomerania","no"
"Deutsche Bank","amenity=bank","Rudolstadt","Marktstraße 45","7407","Rudolstadt","Thüringen / Thuringia","yes"
"Deutsche Bank","amenity=bank","Rüsselsheim","Mainzer Straße 2","65428","Rüsselsheim","Hessen","yes"
"Deutsche Bank","amenity=bank","Saarbrücken","Kaiserstraße 29-31","66111","Saarbrücken","Saarland","yes"
"Deutsche Bank","amenity=bank","Saarlouis","Großer Markt 3","66740","Saarlouis","Saarland","no"
"Deutsche Bank","amenity=bank","Salzgitter-Lebenstedt","Chemnitzer Straße 24-26","38226","Salzgitter","Niedersachsen / Lower Saxony","yes"
"Deutsche Bank","amenity=bank","Salzgitter-Bad","Schützenplatz 18","38259","Salzgitter","Niedersachsen / Lower Saxony","yes"
"Deutsche Bank","amenity=bank","Sangerhausen","Göpenstraße 8","6526","Sangerhausen","Sachsen-Anhalt / Saxony-Anhalt","no"
"Deutsche Bank","amenity=bank","Schwerte","Rathausstraße 16","58239","Schwerte","Nordrhein-Westfalen / North Rhine-Westphalia","no"
"Deutsche Bank","amenity=bank","Schwetzingen","Carl-Theodor-Straße 20","68723","Schwetzingen","Baden-Württemberg / Baden-Wuerttemberg","no"
"Deutsche Bank","amenity=bank","Senftenberg","Bahnhofstraße 8","1968","Senftenberg","Brandenburg","yes"
"Deutsche Bank","amenity=bank","Siegburg","Markt 21","53721","Siegburg","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Siegen","Koblenzer Straße 7","57072","Siegen","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Siegen-Weidenau","Poststraße 11","57076","Siegen","Nordrhein-Westfalen / North Rhine-Westphalia","no"
"Deutsche Bank","amenity=bank","Sindelfingen","Ziegelstraße 20","71063","Sindelfingen","Baden-Württemberg / Baden-Wuerttemberg","no"
"Deutsche Bank","amenity=bank","Singen","August-Ruf-Straße 8","78224","Singen","Baden-Württemberg / Baden-Wuerttemberg","yes"
"Deutsche Bank","amenity=bank","Sömmerda","Stadtring 6","99610","Sömmerda","Thüringen / Thuringia","no"
"Deutsche Bank","amenity=bank","Soest","Markt 14","59494","Soest","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Solingen","Konrad-Adenauer-Straße 2","42651","Solingen","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Wesel","Wilhelmstraße 1","46483","Wesel","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Wesseling","Bahnhofstraße 28","50389","Wesseling","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Westerland","Maybachstraße 1","25980","Westerland","Schleswig-Holstein","yes"
"Deutsche Bank","amenity=bank","Wetzlar","Langgasse 68","35576","Wetzlar","Hessen","no"
"Deutsche Bank","amenity=bank","Wiesbaden-Kaiser-Friedrich-Ring","Dotzheimer Straße 50","65185","Wiesbaden","Hessen","yes"
"Deutsche Bank","amenity=bank","Wiesbaden-Schierstein","Karl-Lehr-Straße 28-30","65201","Wiesbaden","Hessen","yes"
"Deutsche Bank","amenity=bank","Solingen-Ohligs","Forststraße 17","42697","Solingen","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Soltau","Wilhelmstraße 22","29614","Soltau","Niedersachsen / Lower Saxony","no"
"Deutsche Bank","amenity=bank","Speyer","Postplatz 4","67346","Speyer","Rheinland-Pfalz / Rhineland-Palatinate","no"
"Deutsche Bank","amenity=bank","Spremberg","Am Markt 5","3130","Spremberg","Brandenburg","yes"
"Deutsche Bank","amenity=bank","St. Ingbert","Kaiserstraße 49","66386","St. Ingbert","Saarland","no"
"Deutsche Bank","amenity=bank","Stade","Breite Straße 1","21682","Stade","Niedersachsen / Lower Saxony","yes"
"Deutsche Bank","amenity=bank","Stadthagen","Obernstraße 4","31655","Stadthagen","Niedersachsen / Lower Saxony","no"
"Deutsche Bank","amenity=bank","Stadtlohn","Dufkampstraße 1","48703","Stadtlohn","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Starnberg","Wittelsbacherstraße 20","82319","Starnberg","Bayern / Bavaria","yes"
"Deutsche Bank","amenity=bank","Staßfurt","Steinstraße 49","39418","Staßfurt","Sachsen-Anhalt / Saxony-Anhalt","yes"
"Deutsche Bank","amenity=bank","Stendal","Breite Straße 26","39576","Stendal","Sachsen-Anhalt / Saxony-Anhalt","yes"
"Deutsche Bank","amenity=bank","Stockelsdorf","Segeberger Straße 9","23617","Stockelsdorf","Schleswig-Holstein","yes"
