FID,OBJECTID,SHAPE,BEZIRK,STRASSE,ONR,TELEFON,OEFFNUNGSZEIT,INFORMATION,ABTEILUNG,KATEGORIE,SE_ANNO_CAD_DATA
WCANLAGEOGD.288294,288294,POINT (16.391451961283344 48.21881423128917),2,Praterstern,neben 2A,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288295,288295,POINT (16.392911904768482 48.2176390206213),2,Praterstern vis a vis Fluc Wanne,neben 2A,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288263,288263,POINT (16.29171396295948 48.233298954097265),17,Rudolf-Kirchschläger-Platz,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288264,288264,POINT (16.405142783654885 48.2383330605261),22,"WIG 64 (Donaupark, Kinderspielplatz)",,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288265,288265,POINT (16.420506610757727 48.29787041657457),21,Stammersdorf / Bahnhofplatz (Endstelle Linie 31),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288266,288266,POINT (16.38665585782033 48.29153414670148),21,Strebersdorf / Rußbergstraße (Endstelle Linie 26),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288267,288267,POINT (16.361981250462264 48.19798759928765),6,Linke Wienzeile,ggü 26,+43 (1) 546 48,"MO-FR: 6-18.30 Uhr 
SA: 6-17 Uhr",http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.288268,288268,POINT (16.35952871713862 48.1972666742971),6,Linke Wienzeile,ggü 38,+43 (1) 546 48,"MO-FR: 6-18.30 Uhr 
SA: 6-17 Uhr",http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.288269,288269,POINT (16.38789224463998 48.229872423188276),2,Mistplatz Zwischenbrücken (Dresdnerstr.119),,,Mo-Sa: 7-18 Uhr,,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288270,288270,POINT (16.400764866818264 48.18611416948925),3,Mistplatz Landstraße (Grasbergerg.1-3),,,Mo-Sa: 7-18 Uhr,,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288296,288296,POINT (16.41690950267003 48.20444731983724),2,Pierre-de-Coubertin-Platz,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288271,288271,POINT (16.3680578878358 48.25533278367634),19,MistplatzHeiligenstadt (Grinzingerstr. 151),151,,Mo-Sa: 7-18 Uhr,,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288272,288272,POINT (16.455285821586475 48.17721502449073),11,Mistplatz Simmering ((Johann Petrakg.1-3),,,Mo-Sa: 7-18 Uhr,,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288273,288273,POINT (16.32774020160658 48.21011081312502),16,Richard Wagner Platz/Thaliastr.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
