Name	Art	Breitengrad	Längengrad	Strasse	Hausnummer	Plz	Ort	Rollstuhlgerecht	mobidat-ID	Deeplink
Café Hakenfelde - Thürmann Bäckerei & Konditorei	Cafés und Bistros	52.5614600	13.2078700	Streitstraße	58	13587	Spandau	teilweise	48290	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/48290/
Café ICE LAND	Cafés und Bistros	52.4456000	13.4456500	Parchimer Allee	97	12359	Neukölln	teilweise	83576	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/83576/
Café im EKZ Plaza	Cafés und Bistros	52.5145005	13.4680086	Frankfurter Allee	71 - 77	10247	Friedrichshain - Kreuzberg	teilweise	81943	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/81943/
Café im Globetrotter	Cafés und Bistros	52.4555100	13.3203600	Schloßstraße	78 - 82	12165	Steglitz - Zehlendorf	teilweise	87536	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87536/
Café im SATORI Reisebüro	Cafés und Bistros	52.5212600	13.1966700	Adamstraße	4	13595	Spandau	teilweise	89952	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/89952/
Café im Seniorenheim am Lietzensee	Cafés und Bistros	52.4651900	13.4359100	Delbrückstraße	25	12051	Neukölln	teilweise	8432	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/8432/
Café Krone	Cafés und Bistros	52.4383185	13.2328012	Argentinische Allee	2	14163	Steglitz - Zehlendorf	teilweise	3495	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/3495/
Café Landsberg	Cafés und Bistros	52.5291600	13.4558300	Landsberger Allee	117	10407	Pankow	teilweise	83079	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/83079/
Café Lebensbaum	Cafés und Bistros	52.4640216	13.4895458	Kiefholzstraße	248	12437	Treptow - Köpenick	teilweise	7530	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/7530/
Café Mandel Bar	Bars	52.5043200	13.3891900	Puttkamerstraße	4	10969	Friedrichshain - Kreuzberg	teilweise	93533	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/93533/
Café Mania Ramones Museum	Cafés und Bistros	52.5251500	13.3953900	Krausnickstraße	23	10115	Mitte	teilweise	86185	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/86185/
